round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.7,0.0022930758237838743,0,0,0.0,Ideal,42,0.0,0.01
1,16.12,0.00227927451133728,0,0,0.0,Ideal,42,0.0,0.01
2,17.91,0.002266989254951477,0,0,0.0,Ideal,42,0.0,0.01
3,20.1,0.0022500956773757936,0,0,0.0,Ideal,42,0.0,0.01
4,21.45,0.002233839964866638,0,0,0.0,Ideal,42,0.0,0.01
5,23.52,0.002218089509010315,0,0,0.0,Ideal,42,0.0,0.01
6,26.43,0.002202394986152649,0,0,0.0,Ideal,42,0.0,0.01
7,26.84,0.0021872278213500977,0,0,0.0,Ideal,42,0.0,0.01
8,33.07,0.002164978861808777,0,0,0.0,Ideal,42,0.0,0.01
9,36.09,0.0021447333097457887,0,0,0.0,Ideal,42,0.0,0.01
10,38.47,0.0021229459285736084,0,0,0.0,Ideal,42,0.0,0.01
11,39.06,0.0021019526720046995,0,0,0.0,Ideal,42,0.0,0.01
12,38.91,0.0020778173208236693,0,0,0.0,Ideal,42,0.0,0.01
13,41.71,0.0020528042793273925,0,0,0.0,Ideal,42,0.0,0.01
14,44.38,0.0020227936387062074,0,0,0.0,Ideal,42,0.0,0.01
15,51.54,0.0019891977310180662,0,0,0.0,Ideal,42,0.0,0.01
16,50.5,0.0019606121063232423,0,0,0.0,Ideal,42,0.0,0.01
17,53.33,0.0019280494332313538,0,0,0.0,Ideal,42,0.0,0.01
18,52.93,0.0018876129984855652,0,0,0.0,Ideal,42,0.0,0.01
19,54.35,0.0018573745369911193,0,0,0.0,Ideal,42,0.0,0.01
20,58.7,0.0018140876650810241,0,0,0.0,Ideal,42,0.0,0.01
21,62.41,0.0017696969389915467,0,0,0.0,Ideal,42,0.0,0.01
22,63.52,0.0017145254015922546,0,0,0.0,Ideal,42,0.0,0.01
23,67.41,0.0016616141438484191,0,0,0.0,Ideal,42,0.0,0.01
24,65.78,0.0016224161744117737,0,0,0.0,Ideal,42,0.0,0.01
25,67.13,0.0015818690657615662,0,0,0.0,Ideal,42,0.0,0.01
26,69.63,0.0015359100103378297,0,0,0.0,Ideal,42,0.0,0.01
27,73.51,0.00148788321018219,0,0,0.0,Ideal,42,0.0,0.01
28,70.63,0.0014422472834587096,0,0,0.0,Ideal,42,0.0,0.01
29,73.65,0.001401409101486206,0,0,0.0,Ideal,42,0.0,0.01
