round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,6.76,0.5526535583496094,0,0,0.0,Vulnerable,42,0.2,1.647535319403585
1,18.11,5.9631935546875,0,0,0.6000000238418579,Vulnerable,42,0.2,1.647535319403585
2,15.13,18.2939095703125,0,0,0.20000000298023224,Vulnerable,42,0.2,1.647535319403585
3,36.06,7.099224609375,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
4,27.24,17.24273896484375,0,0,0.4000000059604645,Vulnerable,42,0.2,1.647535319403585
5,45.57,7.78656943359375,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
6,38.46,16.71769482421875,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
7,36.1,21.6983453125,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
8,36.35,22.541021875,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
9,33.02,29.811455859375,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
10,33.96,32.838458984375,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
11,38.54,32.607275,0,0,0.4000000059604645,Vulnerable,42,0.2,1.647535319403585
12,41.46,33.48534140625,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
13,41.69,45.840073046875,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
14,42.69,49.6744203125,0,0,0.4000000059604645,Vulnerable,42,0.2,1.647535319403585
15,49.32,37.5198912109375,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
16,22.24,165.10551875,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
17,25.89,135.25711953125,0,0,0.4000000059604645,Vulnerable,42,0.2,1.647535319403585
18,32.04,113.4826796875,0,0,0.20000000298023224,Vulnerable,42,0.2,1.647535319403585
19,39.54,93.81010390625,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
20,39.75,98.62141875,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
21,43.3,84.69106015625,0,0,0.20000000298023224,Vulnerable,42,0.2,1.647535319403585
22,42.1,110.91419921875,0,0,0.20000000298023224,Vulnerable,42,0.2,1.647535319403585
23,48.09,98.59955859375,0,0,0.20000000298023224,Vulnerable,42,0.2,1.647535319403585
24,46.35,102.8212203125,0,0,0.5,Vulnerable,42,0.2,1.647535319403585
25,47.41,91.3155703125,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
26,49.86,84.0283609375,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
27,52.7,76.106059765625,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
28,57.52,63.196142578125,0,0,0.30000001192092896,Vulnerable,42,0.2,1.647535319403585
29,59.73,57.63058046875,0,0,0.10000000149011612,Vulnerable,42,0.2,1.647535319403585
