round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,7.45,0.036008246994018556,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
1,11.36,3.130816552734375,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
2,10.07,123.83849140625,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
3,9.8,557.897946875,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
4,9.58,1163.03010625,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
5,7.52,1689.4113625,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
6,9.58,5135.7614,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
7,9.58,8151.6862,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
8,9.58,15840.5674,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
9,9.58,20486.4428,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
10,9.58,33536.8626,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
11,9.58,47548.058,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
12,9.58,67349.904,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
13,9.58,80640.2888,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
14,9.58,110106.788,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
15,9.58,135376.3312,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
16,9.58,159040.616,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
17,9.58,208756.3856,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
18,9.58,224120.1536,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
19,9.58,314567.3408,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
20,9.58,393538.672,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
21,9.58,453912.9696,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
22,9.58,480069.7216,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
23,9.58,457423.7088,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
24,9.58,504693.4112,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
25,9.58,480995.3024,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
26,9.58,493148.5472,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
27,9.58,560754.496,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
28,9.58,592950.3232,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
29,9.58,674787.1744,0,0,0.0,HighDP_beta0.3,42,0.3,0.1
