round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.14,0.0022977708101272584,0,0,0.0,Krum_beta0.2,42,0.2,0.01
1,15.83,0.0022814987182617186,0,0,0.0,Krum_beta0.2,42,0.2,0.01
2,19.23,0.0022708660125732422,0,0,0.0,Krum_beta0.2,42,0.2,0.01
3,24.12,0.0022563629865646364,0,0,0.0,Krum_beta0.2,42,0.2,0.01
4,24.8,0.0022464789152145384,0,0,0.0,Krum_beta0.2,42,0.2,0.01
5,30.04,0.002230012059211731,0,0,0.0,Krum_beta0.2,42,0.2,0.01
6,28.24,0.0022118704080581666,0,0,0.0,Krum_beta0.2,42,0.2,0.01
7,27.87,0.00219433856010437,0,0,0.0,Krum_beta0.2,42,0.2,0.01
8,27.56,0.0021656609535217284,0,0,0.0,Krum_beta0.2,42,0.2,0.01
9,34.55,0.0021484901428222656,0,0,0.0,Krum_beta0.2,42,0.2,0.01
10,36.86,0.0021249659776687623,0,0,0.0,Krum_beta0.2,42,0.2,0.01
11,38.14,0.0020913628816604615,0,0,0.0,Krum_beta0.2,42,0.2,0.01
12,41.45,0.002054777348041534,0,0,0.0,Krum_beta0.2,42,0.2,0.01
13,45.85,0.0020380741596221926,0,0,0.0,Krum_beta0.2,42,0.2,0.01
14,46.44,0.002007690382003784,0,0,0.0,Krum_beta0.2,42,0.2,0.01
15,51.4,0.001967265224456787,0,0,0.0,Krum_beta0.2,42,0.2,0.01
16,45.35,0.0019331835985183716,0,0,0.0,Krum_beta0.2,42,0.2,0.01
17,50.72,0.001893047320842743,0,0,0.0,Krum_beta0.2,42,0.2,0.01
18,50.19,0.0018574652671813966,0,0,0.0,Krum_beta0.2,42,0.2,0.01
19,54.6,0.0018249686002731324,0,0,0.0,Krum_beta0.2,42,0.2,0.01
20,51.51,0.00178343266248703,0,0,0.0,Krum_beta0.2,42,0.2,0.01
21,53.66,0.0017355034470558166,0,0,0.0,Krum_beta0.2,42,0.2,0.01
22,55.73,0.001686363160610199,0,0,0.0,Krum_beta0.2,42,0.2,0.01
23,56.94,0.0016299134016036986,0,0,0.0,Krum_beta0.2,42,0.2,0.01
24,57.03,0.0015896835565567017,0,0,0.0,Krum_beta0.2,42,0.2,0.01
25,62.22,0.00155134779214859,0,0,0.0,Krum_beta0.2,42,0.2,0.01
26,66.12,0.0014893097043037415,0,0,0.0,Krum_beta0.2,42,0.2,0.01
27,67.46,0.0014372063755989076,0,0,0.0,Krum_beta0.2,42,0.2,0.01
28,66.86,0.0013877715826034545,0,0,0.0,Krum_beta0.2,42,0.2,0.01
29,70.95,0.001340658152103424,0,0,0.0,Krum_beta0.2,42,0.2,0.01
