round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,15.56,0.0022921041011810302,0,0,0.0,Median_beta0.1,42,0.1,0.01
1,17.77,0.0022857031345367433,0,0,0.0,Median_beta0.1,42,0.1,0.01
2,16.74,0.0022872445821762086,0,0,0.0,Median_beta0.1,42,0.1,0.01
3,17.7,0.002287650489807129,0,0,0.0,Median_beta0.1,42,0.1,0.01
4,14.82,0.0022934667587280275,0,0,0.0,Median_beta0.1,42,0.1,0.01
5,14.26,0.002296060538291931,0,0,0.0,Median_beta0.1,42,0.1,0.01
6,13.67,0.0022993691682815552,0,0,0.0,Median_beta0.1,42,0.1,0.01
7,13.21,0.002300920653343201,0,0,0.0,Median_beta0.1,42,0.1,0.01
8,12.68,0.0023019170045852663,0,0,0.0,Median_beta0.1,42,0.1,0.01
9,9.87,0.002301998782157898,0,0,0.0,Median_beta0.1,42,0.1,0.01
10,11.27,0.0023024690628051757,0,0,0.0,Median_beta0.1,42,0.1,0.01
11,8.76,0.002302721071243286,0,0,0.0,Median_beta0.1,42,0.1,0.01
12,9.02,0.002302764058113098,0,0,0.0,Median_beta0.1,42,0.1,0.01
13,8.77,0.0023027241706848143,0,0,0.0,Median_beta0.1,42,0.1,0.01
14,8.58,0.00230291690826416,0,0,0.0,Median_beta0.1,42,0.1,0.01
15,8.19,0.002303112006187439,0,0,0.0,Median_beta0.1,42,0.1,0.01
16,8.92,0.002303128099441528,0,0,0.0,Median_beta0.1,42,0.1,0.01
17,9.8,0.002303140592575073,0,0,0.0,Median_beta0.1,42,0.1,0.01
18,9.85,0.002303118109703064,0,0,0.0,Median_beta0.1,42,0.1,0.01
19,9.9,0.00230330855846405,0,0,0.0,Median_beta0.1,42,0.1,0.01
20,9.99,0.002303198194503784,0,0,0.0,Median_beta0.1,42,0.1,0.01
21,9.84,0.002303147864341736,0,0,0.0,Median_beta0.1,42,0.1,0.01
22,9.82,0.0023030088186264037,0,0,0.0,Median_beta0.1,42,0.1,0.01
23,8.06,0.0023031798839569092,0,0,0.0,Median_beta0.1,42,0.1,0.01
24,8.85,0.0023031801223754884,0,0,0.0,Median_beta0.1,42,0.1,0.01
25,8.79,0.002303082299232483,0,0,0.0,Median_beta0.1,42,0.1,0.01
26,8.9,0.002303242611885071,0,0,0.0,Median_beta0.1,42,0.1,0.01
27,8.92,0.002303145480155945,0,0,0.0,Median_beta0.1,42,0.1,0.01
28,12.73,0.0023028206348419187,0,0,0.0,Median_beta0.1,42,0.1,0.01
29,9.84,0.002302816033363342,0,0,0.0,Median_beta0.1,42,0.1,0.01
