round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,6.76,0.5526269226074219,0.09999999776482582,0,0.0,R-JORA_beta0.1,42,0.1,1.647535319403585
1,12.44,1.0963297241210936,0.09999999776482582,0,0.6000000238418579,R-JORA_beta0.1,42,0.1,1.647535319403585
2,10.73,4.23503037109375,0.09928842447698116,0.10284632444381714,0.20000000298023224,R-JORA_beta0.1,42,0.1,1.647535319403585
3,26.08,3.2294262451171876,0.09999999329447747,0,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
4,19.95,5.3408751953125,0.09923829417675734,0.10304682701826096,0.4000000059604645,R-JORA_beta0.1,42,0.1,1.647535319403585
5,38.37,2.9251638427734377,0.10000000447034836,0,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
6,32.39,3.786478076171875,0.09989210135406917,0.10097111761569977,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
7,39.0,3.8454297119140626,0.10057034902274609,0.09771860763430595,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
8,45.37,3.856615478515625,0.10051056742668152,0.09795772284269333,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
9,50.66,3.771124169921875,0.09992280105749766,0.10069481283426285,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
10,38.36,7.294485888671875,0.0981777725475175,0.10425183673699696,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
11,56.35,4.671474877929687,0.10026219321621789,0.09764024615287781,0.4000000059604645,R-JORA_beta0.1,42,0.1,1.647535319403585
12,58.05,4.84271962890625,0.10059701837599277,0.09761190414428711,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
13,48.02,9.53197919921875,0.09811832436493464,0.10439056158065796,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
14,52.65,8.344148046875,0.10101968174179395,0.09847046807408333,0.4000000059604645,R-JORA_beta0.1,42,0.1,1.647535319403585
15,59.18,6.705782568359375,0.10000000298023223,0,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
16,64.67,5.34607216796875,0.09999999850988388,0,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
17,65.04,4.878880249023437,0.09999999701976776,0,0.4000000059604645,R-JORA_beta0.1,42,0.1,1.647535319403585
18,67.05,4.553255224609375,0.10052157659083605,0.0979137197136879,0.20000000298023224,R-JORA_beta0.1,42,0.1,1.647535319403585
19,63.97,5.601326342773437,0.09984615610705481,0.10138468444347382,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
20,64.63,5.707097924804687,0.09962078370153904,0.10151687636971474,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
21,63.86,5.707471899414062,0.1002591426173846,0.09766766428947449,0.20000000298023224,R-JORA_beta0.1,42,0.1,1.647535319403585
22,59.43,7.6423876953125,0.09990689241223866,0.10083794593811035,0.20000000298023224,R-JORA_beta0.1,42,0.1,1.647535319403585
23,67.04,6.044870947265625,0.09989556835757361,0.10093989223241806,0.20000000298023224,R-JORA_beta0.1,42,0.1,1.647535319403585
24,59.58,8.340816845703126,0.09916624613106251,0.10333504527807236,0.5,R-JORA_beta0.1,42,0.1,1.647535319403585
25,65.4,7.369198291015625,0.0997847252421909,0.10193749517202377,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
26,69.08,6.1430865234375,0.10025520126024882,0.09770319610834122,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
27,68.97,6.562484619140625,0.09990893718269137,0.10081953555345535,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
28,70.09,6.42257275390625,0.10000000447034836,0,0.30000001192092896,R-JORA_beta0.1,42,0.1,1.647535319403585
29,73.19,5.476521655273437,0.09999999478459358,0,0.10000000149011612,R-JORA_beta0.1,42,0.1,1.647535319403585
