round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.7,0.0022930758237838743,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
1,9.7,0.016233335876464843,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
2,2.37,0.08759286499023437,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
3,12.51,0.04374583053588867,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
4,1.79,0.8246008483886719,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
5,9.72,10.294551953125,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
6,9.58,46.910309765625,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
7,10.1,107.76461796875,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
8,10.09,80.15072109375,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
9,9.82,884.53859375,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
10,11.35,705.2356625,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
11,8.92,977.5374625,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
12,9.8,853.5328875,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
13,10.28,1257.2541,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
14,10.32,948.70450625,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
15,5.91,428.49491875,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
16,10.09,521.59336875,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
17,8.92,2033.502925,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
18,11.35,1322.00905,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
19,9.58,2612.05175,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
20,9.58,3197.877475,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
21,9.8,3289.931925,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
22,9.58,4020.429825,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
23,9.8,4424.85175,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
24,9.8,4173.073175,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
25,10.09,3331.0834,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
26,10.09,5006.28375,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
27,10.09,13302.403,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
28,10.09,42109.1508,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
29,10.09,41143.8072,0,0,0.0,Vulnerable_beta0.1,42,0.1,0.01
