round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,13.84,0.002294030809402466,0.09999999925494193,0,0.0,R-JORA_sigma0.005,42,0.2,0.005
1,16.5,0.0022835762977600096,0.09814298339188099,0.10742804780602455,0.6000000238418579,R-JORA_sigma0.005,42,0.2,0.005
2,17.57,0.002276505708694458,0.10128474980592728,0.09871523678302765,0.20000000298023224,R-JORA_sigma0.005,42,0.2,0.005
3,22.66,0.002259664249420166,0.09999999552965164,0,0.5,R-JORA_sigma0.005,42,0.2,0.005
4,24.06,0.002248124098777771,0.09980076365172863,0.1007969118654728,0.4000000059604645,R-JORA_sigma0.005,42,0.2,0.005
5,25.92,0.0022357414722442626,0.10000000223517418,0,0.5,R-JORA_sigma0.005,42,0.2,0.005
6,27.83,0.002221649956703186,0.0998925706371665,0.1004297137260437,0.5,R-JORA_sigma0.005,42,0.2,0.005
7,28.8,0.002211464333534241,0.10102450599273045,0.09846325218677521,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
8,26.13,0.0021982223272323607,0.10085409986121315,0.09800708790620168,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
9,27.42,0.002191434073448181,0.09984841663390398,0.10060634091496468,0.5,R-JORA_sigma0.005,42,0.2,0.005
10,27.45,0.0021793293476104736,0.10107418770591418,0.09838872402906418,0.5,R-JORA_sigma0.005,42,0.2,0.005
11,31.58,0.0021666322708129883,0.10080837458372116,0.09811379015445709,0.4000000059604645,R-JORA_sigma0.005,42,0.2,0.005
12,34.82,0.002153051233291626,0.10082948207855225,0.0980645443002383,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
13,34.16,0.002135096716880798,0.09870569833687373,0.10302004714806874,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
14,32.54,0.002119511365890503,0.10097193717956543,0.098542096093297,0.4000000059604645,R-JORA_sigma0.005,42,0.2,0.005
15,36.85,0.0020966136932373046,0.10000000074505806,0,0.5,R-JORA_sigma0.005,42,0.2,0.005
16,32.56,0.002100668144226074,0.09244148433208466,0.10755852609872818,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
17,43.17,0.0020684065103530884,0.09999999925494193,0,0.4000000059604645,R-JORA_sigma0.005,42,0.2,0.005
18,42.47,0.0020431572198867797,0.10054147150367498,0.09783409535884857,0.20000000298023224,R-JORA_sigma0.005,42,0.2,0.005
19,47.03,0.0020133800268173217,0.1003867131140497,0.0965195819735527,0.5,R-JORA_sigma0.005,42,0.2,0.005
20,47.04,0.0019924132823944092,0.0996548430994153,0.10138063877820969,0.5,R-JORA_sigma0.005,42,0.2,0.005
21,48.57,0.0019568724870681763,0.10025149418248071,0.09773656725883484,0.20000000298023224,R-JORA_sigma0.005,42,0.2,0.005
22,49.75,0.0019403965115547181,0.09875455818005971,0.10290602346261342,0.20000000298023224,R-JORA_sigma0.005,42,0.2,0.005
23,54.52,0.0019034950137138368,0.09150406811386347,0.13398374617099762,0.20000000298023224,R-JORA_sigma0.005,42,0.2,0.005
24,56.61,0.0018749749541282653,0.09290685039013624,0.12837261706590652,0.5,R-JORA_sigma0.005,42,0.2,0.005
25,55.41,0.001843476140499115,0.094594681635499,0.121621273458004,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
26,57.83,0.0018102578997612,0.10085353255271912,0.09800842652718227,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
27,61.37,0.0017735952734947206,0.10035593642128839,0.09679659456014633,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
28,60.57,0.0017271015167236328,0.1000000037252903,0,0.30000001192092896,R-JORA_sigma0.005,42,0.2,0.005
29,58.83,0.0016997640252113342,0.10027891894181569,0.09748980402946472,0.10000000149011612,R-JORA_sigma0.005,42,0.2,0.005
