round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,6.95,0.1268733467102051,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
1,13.7,0.6019396911621093,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
2,13.0,6.841539013671875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
3,26.74,3.365339453125,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
4,22.34,7.68633466796875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
5,48.65,4.268008154296875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
6,51.49,5.528284423828125,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
7,41.42,9.80185205078125,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
8,58.07,5.404937841796875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
9,49.68,8.9511404296875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
10,65.39,5.076044897460937,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
11,62.06,6.495575,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
12,66.01,5.200564184570313,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
13,62.76,6.040143286132812,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
14,64.58,6.83465146484375,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
15,68.41,5.9876661865234375,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
16,69.48,6.0775427734375,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
17,60.38,10.042896875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
18,67.65,7.75621552734375,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
19,56.37,15.09931064453125,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
20,53.25,17.92044541015625,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
21,64.24,12.90913349609375,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
22,58.54,20.74737470703125,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
23,66.32,14.663231640625,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
24,64.8,18.9578796875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
25,70.59,14.6019748046875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
26,71.08,14.22677158203125,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
27,70.74,16.67239794921875,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
28,67.27,22.93028916015625,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
29,65.83,26.80878515625,0,0,0.0,Vulnerable_sigma1.0,42,0.2,1.0
