round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,6.77,0.5515843872070313,0.09999999254941941,0,0.0,No-ISAC,42,0.2,1.647535319403585
1,13.55,1.8693066650390624,0.10073915372292201,0.09334766119718552,0.0,No-ISAC,42,0.2,1.647535319403585
2,11.33,7.179050341796875,0.09811806040150779,0.10439119239648183,0.0,No-ISAC,42,0.2,1.647535319403585
3,27.65,4.450108374023437,0.10007846107085545,0.09929386526346207,0.0,No-ISAC,42,0.2,1.647535319403585
4,20.3,12.42805869140625,0.09736660229308265,0.10614460210005443,0.0,No-ISAC,42,0.2,1.647535319403585
5,35.75,7.01604365234375,0.0982703659683466,0.10691853240132332,0.0,No-ISAC,42,0.2,1.647535319403585
6,46.93,6.985818408203125,0.09851008094847202,0.10595966130495071,0.0,No-ISAC,42,0.2,1.647535319403585
7,31.74,14.22585556640625,0.0973384901881218,0.10621019701162975,0.0,No-ISAC,42,0.2,1.647535319403585
8,45.77,9.8357134765625,0.09925160888168547,0.1067354828119278,0.0,No-ISAC,42,0.2,1.647535319403585
9,42.06,12.42767607421875,0.0967015368597848,0.10769642889499664,0.0,No-ISAC,42,0.2,1.647535319403585
10,54.5,8.22876494140625,0.09999999254941941,0,0.0,No-ISAC,42,0.2,1.647535319403585
11,57.9,9.459118310546875,0.09784668032079935,0.1086132824420929,0.0,No-ISAC,42,0.2,1.647535319403585
12,61.38,8.280451611328125,0.09947216427988476,0.10475053638219833,0.0,No-ISAC,42,0.2,1.647535319403585
13,57.76,9.090853076171875,0.10002704047494465,0.09975660592317581,0.0,No-ISAC,42,0.2,1.647535319403585
14,60.49,9.222058642578125,0.09824465867131948,0.10702136158943176,0.0,No-ISAC,42,0.2,1.647535319403585
15,62.95,9.944099169921875,0.09958815326293309,0.10370664298534393,0.0,No-ISAC,42,0.2,1.647535319403585
16,61.6,9.93211650390625,0.09978623439868291,0.10192378610372543,0.0,No-ISAC,42,0.2,1.647535319403585
17,56.16,14.2235845703125,0.09739181931529726,0.10608574748039246,0.0,No-ISAC,42,0.2,1.647535319403585
18,62.61,11.680762939453125,0.09954820324977239,0.10406612604856491,0.0,No-ISAC,42,0.2,1.647535319403585
19,59.17,16.80576572265625,0.09685375967196055,0.10734119514624278,0.0,No-ISAC,42,0.2,1.647535319403585
20,64.88,12.6288474609375,0.0995576661080122,0.10176932439208031,0.0,No-ISAC,42,0.2,1.647535319403585
21,63.13,14.09483388671875,0.0992134278640151,0.1031462736427784,0.0,No-ISAC,42,0.2,1.647535319403585
22,59.32,18.462262109375,0.09632682924469312,0.10550976730883121,0.0,No-ISAC,42,0.2,1.647535319403585
23,63.01,14.38288388671875,0.09996429416868421,0.10032133758068085,0.0,No-ISAC,42,0.2,1.647535319403585
24,55.07,21.35995703125,0.09789679944515228,0.10490746299425761,0.0,No-ISAC,42,0.2,1.647535319403585
25,61.65,16.5828580078125,0.09999999701976776,0,0.0,No-ISAC,42,0.2,1.647535319403585
26,63.96,15.3703578125,0.09980806046062046,0.10172741860151291,0.0,No-ISAC,42,0.2,1.647535319403585
27,63.86,16.08955859375,0.09911199659109116,0.10355203971266747,0.0,No-ISAC,42,0.2,1.647535319403585
28,61.55,19.41848056640625,0.09677821291344506,0.10751750320196152,0.0,No-ISAC,42,0.2,1.647535319403585
29,58.61,27.6255623046875,0.0973084175160953,0.10628038148085277,0.0,No-ISAC,42,0.2,1.647535319403585
