round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,14.42,0.0022940039873123167,0.10000000074505806,0,0.0,No-OptDP,42,0.2,0.01
1,15.55,0.002287180781364441,0.09948752541095018,0.10204989835619926,0.6000000238418579,No-OptDP,42,0.2,0.01
2,16.51,0.0022795780420303345,0.10121293514966964,0.09878706485033036,0.20000000298023224,No-OptDP,42,0.2,0.01
3,21.5,0.002261692786216736,0.10000000298023223,0,0.5,No-OptDP,42,0.2,0.01
4,22.26,0.0022496459484100343,0.099949867464602,0.10020050778985023,0.4000000059604645,No-OptDP,42,0.2,0.01
5,24.16,0.002237492036819458,0.09999999776482582,0,0.5,No-OptDP,42,0.2,0.01
6,23.61,0.002229950642585754,0.09994960017502308,0.1002015620470047,0.5,No-OptDP,42,0.2,0.01
7,24.57,0.0022206610202789305,0.10106416915853818,0.09840374439954758,0.30000001192092896,No-OptDP,42,0.2,0.01
8,22.18,0.0022076942682266237,0.10085412434169225,0.0980070208509763,0.30000001192092896,No-OptDP,42,0.2,0.01
9,25.28,0.0021996328592300417,0.1000212412327528,0.0999150276184082,0.5,No-OptDP,42,0.2,0.01
10,23.98,0.0021913233041763306,0.10106280942757924,0.09840578772127628,0.5,No-OptDP,42,0.2,0.01
11,27.13,0.0021793734788894655,0.10080432466098241,0.09812325735886891,0.4000000059604645,No-OptDP,42,0.2,0.01
12,30.22,0.002164919137954712,0.10081795922347478,0.0980914334456126,0.30000001192092896,No-OptDP,42,0.2,0.01
13,26.15,0.0021591604232788085,0.09854653158358165,0.10339142630497615,0.30000001192092896,No-OptDP,42,0.2,0.01
14,29.96,0.002141802978515625,0.10095980018377304,0.09856029227375984,0.4000000059604645,No-OptDP,42,0.2,0.01
15,34.58,0.0021187596321105956,0.10000000149011612,0,0.5,No-OptDP,42,0.2,0.01
16,32.07,0.0021261183500289917,0.0922454446554184,0.107754547894001,0.30000001192092896,No-OptDP,42,0.2,0.01
17,39.84,0.0020916051864624022,0.09999999925494193,0,0.4000000059604645,No-OptDP,42,0.2,0.01
18,39.93,0.0020618231534957885,0.1005472308024764,0.09781105071306229,0.20000000298023224,No-OptDP,42,0.2,0.01
19,41.92,0.0020307230949401854,0.10026713295115365,0.09759576618671417,0.5,No-OptDP,42,0.2,0.01
20,42.74,0.002009801137447357,0.09851675853133202,0.10593298450112343,0.5,No-OptDP,42,0.2,0.01
21,45.19,0.0019731624484062194,0.10025636023945278,0.09769273549318314,0.20000000298023224,No-OptDP,42,0.2,0.01
22,49.42,0.0019562827467918395,0.09868482606751579,0.10306874165932338,0.20000000298023224,No-OptDP,42,0.2,0.01
23,54.77,0.0019369044065475464,0.09954373072832823,0.10182507708668709,0.20000000298023224,No-OptDP,42,0.2,0.01
24,56.81,0.0018988348603248596,0.09931465145200491,0.10274139419198036,0.5,No-OptDP,42,0.2,0.01
25,54.17,0.0018631223082542418,0.09377248864620924,0.12491008639335632,0.30000001192092896,No-OptDP,42,0.2,0.01
26,56.17,0.00183140310049057,0.10084983280726842,0.09801707416772842,0.30000001192092896,No-OptDP,42,0.2,0.01
27,60.49,0.0017873722553253173,0.10043865856197146,0.0960521325469017,0.30000001192092896,No-OptDP,42,0.2,0.01
28,58.62,0.001740541660785675,0.10000000596046447,0,0.30000001192092896,No-OptDP,42,0.2,0.01
29,56.14,0.001712351167201996,0.10027165959278743,0.09755506366491318,0.10000000149011612,No-OptDP,42,0.2,0.01
