round,accuracy,loss,stga_trust_benign,stga_trust_mal,isac_instability,scenario,seed,beta,sigma_z
0,6.76,0.5526535827636718,0,0,0.0,No-STGA,42,0.2,1.647535319403585
1,18.12,5.96341103515625,0,0,0.6000000238418579,No-STGA,42,0.2,1.647535319403585
2,17.55,19.1747884765625,0,0,0.20000000298023224,No-STGA,42,0.2,1.647535319403585
3,31.5,8.874129541015625,0,0,0.5,No-STGA,42,0.2,1.647535319403585
4,22.69,18.5001921875,0,0,0.4000000059604645,No-STGA,42,0.2,1.647535319403585
5,37.31,8.780428955078126,0,0,0.5,No-STGA,42,0.2,1.647535319403585
6,34.17,18.23635380859375,0,0,0.5,No-STGA,42,0.2,1.647535319403585
7,31.22,21.9024416015625,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
8,30.12,24.8246251953125,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
9,32.42,28.818083203125,0,0,0.5,No-STGA,42,0.2,1.647535319403585
10,34.93,31.973803515625,0,0,0.5,No-STGA,42,0.2,1.647535319403585
11,38.78,33.6554111328125,0,0,0.4000000059604645,No-STGA,42,0.2,1.647535319403585
12,45.9,30.4221197265625,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
13,45.96,41.066690234375,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
14,42.91,49.87005390625,0,0,0.4000000059604645,No-STGA,42,0.2,1.647535319403585
15,49.26,34.655370703125,0,0,0.5,No-STGA,42,0.2,1.647535319403585
16,20.75,191.5915375,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
17,23.48,155.3137890625,0,0,0.4000000059604645,No-STGA,42,0.2,1.647535319403585
18,27.91,132.53906328125,0,0,0.20000000298023224,No-STGA,42,0.2,1.647535319403585
19,36.4,94.25492734375,0,0,0.5,No-STGA,42,0.2,1.647535319403585
20,35.51,98.553021875,0,0,0.5,No-STGA,42,0.2,1.647535319403585
21,38.17,81.6681234375,0,0,0.20000000298023224,No-STGA,42,0.2,1.647535319403585
22,35.05,113.936303125,0,0,0.20000000298023224,No-STGA,42,0.2,1.647535319403585
23,40.43,102.73579921875,0,0,0.20000000298023224,No-STGA,42,0.2,1.647535319403585
24,39.73,110.76168515625,0,0,0.5,No-STGA,42,0.2,1.647535319403585
25,45.88,87.62046015625,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
26,45.17,86.4473890625,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
27,46.97,80.43998984375,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
28,50.77,68.3583,0,0,0.30000001192092896,No-STGA,42,0.2,1.647535319403585
29,52.98,60.91625078125,0,0,0.10000000149011612,No-STGA,42,0.2,1.647535319403585
