Scenario,Round,Type,L2_Norm,Cosine_Sim,Weight
FedAvg,0,Benign,4.9961095,0.2145791,0.1
FedAvg,0,Benign,4.9860115,0.21289507,0.1
FedAvg,0,Benign,4.985871,0.20348778,0.1
FedAvg,0,Benign,4.9908247,0.27566162,0.1
FedAvg,0,Benign,4.996382,0.20971635,0.1
FedAvg,0,Benign,4.9987693,0.21136308,0.1
FedAvg,0,Benign,4.9780545,0.27711394,0.1
FedAvg,0,Benign,5.004735,0.21135499,0.1
FedAvg,0,Benign,4.990438,0.20932767,0.1
FedAvg,0,Malicious,684.7982,-0.021520272,0.1
FedAvg,1,Benign,5.014334,0.14958003,0.1
FedAvg,1,Benign,5.036696,0.14974739,0.1
FedAvg,1,Benign,5.0139437,0.14687,0.1
FedAvg,1,Benign,5.020756,0.14768638,0.1
FedAvg,1,Benign,5.04692,0.2083042,0.1
FedAvg,1,Benign,5.0182743,0.20866404,0.1
FedAvg,1,Benign,5.028586,0.15105931,0.1
FedAvg,1,Malicious,648.3424,0.5393292,0.1
FedAvg,1,Malicious,648.34375,0.5393321,0.1
FedAvg,1,Malicious,648.3363,0.5393187,0.1
FedAvg,2,Benign,6.853116,0.34947133,0.1
FedAvg,2,Benign,5.854588,0.26479983,0.1
FedAvg,2,Benign,6.529898,0.37570083,0.1
FedAvg,2,Benign,6.437202,0.32526153,0.1
FedAvg,2,Benign,6.461772,0.32846266,0.1
FedAvg,2,Benign,6.57119,0.3693064,0.1
FedAvg,2,Malicious,649.42645,0.47915027,0.1
FedAvg,2,Malicious,649.41364,0.4791327,0.1
FedAvg,2,Malicious,649.414,0.47914064,0.1
FedAvg,2,Malicious,649.4104,0.47914582,0.1
FedAvg,3,Benign,15.817492,0.69457436,0.1
FedAvg,3,Benign,15.811402,0.74685836,0.1
FedAvg,3,Benign,15.811748,0.7294874,0.1
FedAvg,3,Benign,15.800438,0.6899909,0.1
FedAvg,3,Benign,15.823225,0.56672025,0.1
FedAvg,3,Benign,15.805604,0.7820131,0.1
FedAvg,3,Benign,15.810369,0.71791506,0.1
FedAvg,3,Malicious,712.9839,-0.15188456,0.1
FedAvg,3,Malicious,712.99646,-0.15188211,0.1
FedAvg,3,Malicious,713.0015,-0.15185653,0.1
FedAvg,4,Benign,15.799363,0.6407765,0.1
FedAvg,4,Benign,15.81117,0.6035981,0.1
FedAvg,4,Benign,15.797354,0.64197886,0.1
FedAvg,4,Benign,15.805123,0.5500298,0.1
FedAvg,4,Benign,15.802163,0.6221496,0.1
FedAvg,4,Benign,15.801393,0.67413926,0.1
FedAvg,4,Malicious,676.19293,0.123263836,0.1
FedAvg,4,Malicious,676.19336,0.12325712,0.1
FedAvg,4,Malicious,676.19275,0.12325694,0.1
FedAvg,4,Malicious,676.18756,0.12326359,0.1
FedAvg,5,Benign,15.823668,0.8221407,0.1
FedAvg,5,Benign,15.781725,0.8143768,0.1
FedAvg,5,Benign,15.79906,0.7637911,0.1
FedAvg,5,Benign,15.813588,0.82220644,0.1
FedAvg,5,Benign,15.804593,0.82378304,0.1
FedAvg,5,Benign,15.80447,0.7880158,0.1
FedAvg,5,Benign,15.794761,0.79080284,0.1
FedAvg,5,Malicious,723.73834,-0.20032741,0.1
FedAvg,5,Malicious,723.74426,-0.20031789,0.1
FedAvg,5,Malicious,723.7433,-0.20032777,0.1
FedAvg,6,Benign,15.815796,0.6980065,0.1
FedAvg,6,Benign,15.814977,0.73276174,0.1
FedAvg,6,Benign,15.778124,0.68299246,0.1
FedAvg,6,Benign,15.812662,0.66643757,0.1
FedAvg,6,Benign,15.789308,0.7182174,0.1
FedAvg,6,Benign,15.794447,0.710455,0.1
FedAvg,6,Malicious,744.9489,-0.112526685,0.1
FedAvg,6,Malicious,744.9526,-0.11253718,0.1
FedAvg,6,Malicious,744.94934,-0.112534106,0.1
FedAvg,6,Malicious,744.9416,-0.112522855,0.1
FedAvg,7,Benign,15.80262,0.73183334,0.1
FedAvg,7,Benign,15.799013,0.73430955,0.1
FedAvg,7,Benign,15.807264,0.71062493,0.1
FedAvg,7,Benign,15.834223,0.73164904,0.1
FedAvg,7,Benign,15.803924,0.7237779,0.1
FedAvg,7,Benign,15.804802,0.74907124,0.1
FedAvg,7,Malicious,692.9447,0.0990599,0.1
